deathAfrAmer,deathWhite,deathHispanic,deathAsian
5682,10153,1113,551
5682,10154,1113,551
5682,10155,1113,551
5684,10157,1113,551
0,0,0,0
0,0,0,0
5684,10159,1113,551
5684,10159,1113,551
5684,10160,1113,551
5685,10162,1113,551
5685,10163,1113,551
0,0,0,0
0,0,0,0
0,0,0,0
5685,10168,1113,551
5686,10170,1113,551
5686,10171,1113,551
5688,10172,1113,551
0,0,0,0
0,0,0,0
5689,10175,1113,551
5690,10175,1113,552
5691,10177,1113,552
5691,10178,1113,552
5692,10179,1113,552
0,0,0,0
0,0,0,0
5692,10179,1113,552
